City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,petropavlovsk-kamchatskiy,90,RU,1516507200,86,53.05,158.65,28.4,11.18
146,fare,100,PF,1516509688,96,-16.7,-151.02,83.42,19.37
147,xining,44,CN,1516509689,14,36.62,101.77,35.4,20.22
148,hofn,88,IS,1516509689,100,64.25,-15.21,30.99,6.4
149,mar del plata,0,AR,1516509634,100,-46.43,-67.52,54.71,1.1
150,saldanha,48,PT,1516509690,92,41.42,-6.55,41.93,5.91
151,yulara,0,AU,1516507200,12,-25.24,130.99,104.0,11.41
152,kuhdasht,0,IR,1516506600,93,33.53,47.61,32.0,4.7
153,cherskiy,0,RU,1516509692,75,68.75,161.3,-37.1,3.0
154,tripoli,90,GR,1516508400,93,37.51,22.37,51.8,1.48
155,faanui,68,PF,1516509693,100,-16.48,-151.75,82.61,18.7
156,port hardy,90,CA,1516508820,93,50.7,-127.42,37.4,3.36
157,east london,0,ZA,1516507200,94,-33.02,27.91,69.8,11.41
158,madridejos,0,ES,1516509694,79,39.47,-3.54,32.39,3.49
159,isabela,68,PH,1516509695,76,10.2,122.99,80.76,3.56
160,herat,0,AF,1516506900,29,34.35,62.22,37.4,4.7
161,jamsa,90,FI,1516508400,92,61.86,25.19,15.8,5.82
162,kefalos,40,GR,1516508400,67,36.75,26.96,57.2,16.11
163,joao pinheiro,32,BR,1516509697,69,-17.74,-46.17,66.54,2.71
164,airai,76,TL,1516509697,82,-8.93,125.41,76.22,1.77
165,miandrivazo,68,MG,1516509698,99,-19.53,45.46,75.86,2.71
166,ancud,0,CL,1516509699,86,-41.87,-73.83,51.02,3.83
167,sola,90,FI,1516508400,84,62.78,29.36,8.6,4.7
168,nacala,92,MZ,1516509699,100,-14.56,40.69,76.76,5.84
169,boa vista,0,BR,1516507200,74,2.82,-60.67,80.6,9.17
170,ostersund,0,SE,1516508400,84,63.18,14.64,5.0,5.82
171,torbay,90,CA,1516507200,93,47.66,-52.73,35.6,23.04
172,baruun-urt,20,MN,1516509703,54,46.68,113.28,-7.04,8.14
173,hibbing,1,US,1516508100,85,47.43,-92.94,26.6,4.83
174,sao joao da barra,0,BR,1516509704,99,-21.64,-41.05,78.33,8.86
175,kruisfontein,44,ZA,1516509705,90,-34.0,24.73,72.75,17.36
176,severo-kurilsk,0,RU,1516509705,100,50.68,156.12,25.5,10.94
177,takoradi,0,GH,1516509706,100,4.89,-1.75,78.29,8.93
178,otradnoye,90,RU,1516507200,92,59.77,30.8,14.0,4.47
179,zwedru,0,LR,1516509706,90,6.07,-8.13,64.11,3.33
180,xinzhi,75,TW,1516507200,69,22.54,120.62,77.0,5.82
181,strezhevoy,90,RU,1516507200,64,60.73,77.6,-41.81,8.95
182,dumas,0,IN,1516509708,85,21.09,72.71,77.25,8.25
183,ondjiva,68,AO,1516509708,95,-17.07,15.73,65.91,4.0
184,ola,75,RU,1516507200,72,59.58,151.3,17.6,15.66
185,port blair,0,IN,1516509709,100,11.67,92.75,81.93,12.84
186,mata,75,CU,1516506660,88,22.63,-79.93,69.8,8.05
187,ahmadpur east,0,PK,1516509710,94,29.14,71.26,62.13,4.72
188,bowen,92,AU,1516507200,51,-20.01,148.25,84.2,12.75
189,esso,76,RU,1516509711,90,55.93,158.7,21.32,3.0
190,upernavik,0,GL,1516509712,100,72.79,-56.15,3.81,1.81
191,mansa,0,IN,1516507200,59,23.43,72.66,66.2,3.36
192,omboue,76,GA,1516509713,100,-1.57,9.26,78.74,5.06
193,bambous virieux,40,MU,1516507200,88,-20.34,57.76,80.6,3.0
194,roma,40,IT,1516506900,87,41.89,12.48,57.2,8.05
195,kulunda,0,RU,1516509714,46,52.57,78.94,-28.19,9.82
196,pacific grove,1,US,1516506900,71,36.62,-121.92,51.8,4.7
197,taywarah,8,AF,1516509715,30,33.35,64.42,36.98,2.82
198,beyla,0,GN,1516509715,49,8.69,-8.65,56.01,5.61
199,raudeberg,12,NO,1516508400,55,61.99,5.14,35.6,13.87
200,souillac,90,FR,1516509000,93,45.6,-0.6,53.6,13.87
201,nalut,0,LY,1516509716,90,31.86,10.98,39.14,5.61
202,primero de marzo,75,PY,1516507200,88,-25.15,-56.93,77.0,3.36
203,saint-augustin,92,FR,1516509000,93,44.83,-0.61,55.4,16.11
204,yuzhno-sukhokumsk,92,RU,1516509718,98,44.66,45.65,30.14,11.83
205,vestmanna,0,FO,1516508400,85,62.16,-7.17,23.0,5.39
206,tashtyp,48,RU,1516509719,67,52.8,89.89,-15.95,3.33
207,urusha,0,RU,1516509720,41,54.05,122.9,-14.19,8.25
208,tazovskiy,0,RU,1516509720,0,67.47,78.7,-43.67,6.73
209,aswan,0,EG,1516503600,76,24.09,32.9,50.0,5.82
210,whitehorse,90,CA,1516507200,85,60.72,-135.06,10.4,3.36
211,erenhot,68,CN,1516509722,49,43.65,111.97,7.23,12.55
212,iqaluit,5,CA,1516507200,68,63.75,-68.52,-16.61,20.8
213,torrox,0,ES,1516509000,99,36.76,-3.95,59.0,2.24
214,kulhudhuffushi,44,MV,1516509723,100,6.62,73.07,79.28,4.72
215,banff,0,CA,1516509614,73,51.18,-115.57,1.11,1.36
216,alcala la real,0,ES,1516509000,89,37.46,-3.92,32.0,2.24
217,leningradskiy,0,RU,1516509724,82,69.38,178.42,-18.47,12.88
218,college,90,US,1516508820,83,64.86,-147.8,-9.41,5.61
219,esperance,20,TT,1516507200,88,10.24,-61.45,75.2,4.7
220,den helder,48,NL,1516508700,80,52.96,4.76,42.8,8.05
221,cockburn town,92,TC,1516509726,100,21.46,-71.14,74.64,22.12
222,alto parana,36,BR,1516509727,87,-23.13,-52.32,74.06,10.6
223,masterton,24,NZ,1516509727,46,-40.95,175.66,79.82,7.63
224,wasilla,1,US,1516506960,84,61.58,-149.44,17.6,2.1
225,ribeira grande,92,PT,1516509728,96,38.52,-28.7,64.52,26.93
226,khatanga,48,RU,1516509728,57,71.98,102.47,-18.92,17.2
227,codrington,80,AU,1516509729,86,-28.95,153.24,73.43,4.56
228,lander,90,US,1516508700,85,42.83,-108.73,23.0,4.7
229,ayan,80,TR,1516509730,85,40.67,33.6,36.84,7.92
230,hof,90,DE,1516508580,96,50.32,11.92,32.0,4.0
231,gazanjyk,80,TM,1516509732,91,39.24,55.52,39.0,10.04
232,nikolskoye,90,RU,1516507200,92,59.7,30.79,14.0,4.47
233,vardo,1,US,1516508100,83,39.62,-77.74,48.2,3.36
234,namatanai,8,PG,1516509733,100,-3.66,152.44,84.41,8.37
235,jawa,0,NG,1516509734,65,12.81,11.04,48.59,4.5
236,araouane,20,ML,1516509734,36,18.9,-3.53,52.28,12.39
237,mawlaik,36,MM,1516509735,79,23.63,94.42,70.41,1.88
238,merke,8,KZ,1516509735,63,42.87,73.19,27.08,2.59
239,georgetown,20,GY,1516507200,94,6.8,-58.16,73.4,4.7
240,pangody,0,RU,1516509736,0,65.85,74.49,-42.41,7.29
241,emerald,80,AU,1516509737,33,-23.53,148.16,92.1,10.09
242,srednekolymsk,32,RU,1516509737,0,67.46,153.71,-39.8,2.59
243,poya,44,NC,1516509738,100,-21.35,165.16,76.58,1.48
244,karachi,0,PK,1516505100,82,24.87,67.03,55.4,1.54
245,vao,68,EE,1516509739,89,59.1,26.19,20.73,4.23
246,tasiilaq,48,GL,1516506600,39,65.61,-37.64,30.2,18.34
247,klaksvik,0,FO,1516508400,85,62.23,-6.59,23.0,2.77
248,hualmay,12,PE,1516509740,89,-11.1,-77.61,63.53,0.2
249,kavieng,64,PG,1516509741,100,-2.57,150.8,83.33,6.13
250,storsteinnes,0,NO,1516508400,82,69.24,19.23,14.0,2.1
251,kolvereid,0,NO,1516509743,100,64.86,11.6,19.83,6.62
252,sulangan,80,PH,1516509744,99,11.14,123.72,81.17,15.9
253,vila franca do campo,75,PT,1516509000,93,37.72,-25.43,60.8,14.99
254,grindavik,75,IS,1516507200,73,63.84,-22.43,26.6,11.41
255,saint george,75,GR,1516508400,87,39.45,22.34,46.4,2.24
256,warwick,1,US,1516506960,69,41.7,-71.42,39.2,6.58
257,port-cartier,40,CA,1516507200,66,50.03,-66.88,12.2,13.87
258,merauke,32,ID,1516509747,93,-8.49,140.4,85.98,7.63
